,Competition Name,Link
130,FIFA World Cup Qualification — AFC,https://fbref.com//en/comps/7/history/WCQ----AFC-M-Seasons
131,AFC Women's Asian Cup Qualification,https://fbref.com//en/comps/662/history/AFC-Womens-Asian-Cup-Qualification-Seasons
132,Copa de la Liga Profesional,https://fbref.com//en/comps/905/history/Copa-de-la-Liga-Profesional-Seasons
133,EFL Cup,https://fbref.com//en/comps/690/history/EFL-Cup-Seasons
134,FA Community Shield,https://fbref.com//en/comps/602/history/FA-Community-Shield-Seasons
135,FA Cup,https://fbref.com//en/comps/514/history/FA-Cup-Seasons
136,Copa del Rey,https://fbref.com//en/comps/569/history/Copa-del-Rey-Seasons
137,Supercopa de España,https://fbref.com//en/comps/646/history/Supercopa-de-Espana-Seasons
138,Coupe de France,https://fbref.com//en/comps/518/history/Coupe-de-France-Seasons
139,Trophée des Champions,https://fbref.com//en/comps/604/history/Trophee-des-Champions-Seasons
140,Coupe de la Ligue,https://fbref.com//en/comps/693/history/Coupe-de-la-Ligue-Seasons
141,DFB-Pokal,https://fbref.com//en/comps/521/history/DFB-Pokal-Seasons
142,DFL-Supercup,https://fbref.com//en/comps/606/history/DFL-Supercup-Seasons
143,DFB-Pokal Frauen,https://fbref.com//en/comps/520/history/DFB-Pokal-Frauen-Seasons
144,Coppa Italia,https://fbref.com//en/comps/529/history/Coppa-Italia-Seasons
145,Supercoppa Italiana,https://fbref.com//en/comps/612/history/Supercoppa-Italiana-Seasons
146,NWSL Challenge Cup,https://fbref.com//en/comps/881/history/NWSL-Challenge-Cup-Seasons
147,NWSL Fall Series,https://fbref.com//en/comps/884/history/NWSL-Fall-Series-Seasons
148,Premier League 2,https://fbref.com//en/comps/852/history/Premier-League-2-Seasons
149,Premier League 2 — Division 2,https://fbref.com//en/comps/853/history/Premier-League-2----Division-2-Seasons
150,U17 DFB Youth League,https://fbref.com//en/comps/851/history/U17-DFB-Youth-League-Seasons
151,U19 DFB Youth League,https://fbref.com//en/comps/850/history/U19-DFB-Youth-League-Seasons
